event_date,experiment_group,pageviews,clicks,enrollments,payments
2014-10-11,Control,7723,687,134.0,70.0
2014-10-11,Experiment,7716,686,105.0,34.0
2014-10-12,Control,9102,779,147.0,70.0
2014-10-12,Experiment,9288,785,116.0,91.0
2014-10-13,Control,10511,909,167.0,95.0
2014-10-13,Experiment,10480,884,145.0,79.0
2014-10-14,Control,9871,836,156.0,105.0
2014-10-14,Experiment,9867,827,138.0,92.0
2014-10-15,Control,10014,837,163.0,64.0
2014-10-15,Experiment,9793,832,140.0,94.0
2014-10-16,Control,9670,823,138.0,82.0
2014-10-16,Experiment,9500,788,129.0,61.0
2014-10-17,Control,9008,748,146.0,76.0
2014-10-17,Experiment,9088,780,127.0,44.0
2014-10-18,Control,7434,632,110.0,70.0
2014-10-18,Experiment,7664,652,94.0,62.0
2014-10-19,Control,8459,691,131.0,60.0
2014-10-19,Experiment,8434,697,120.0,77.0
2014-10-20,Control,10667,861,165.0,97.0
2014-10-20,Experiment,10496,860,153.0,98.0
2014-10-21,Control,10660,867,196.0,105.0
2014-10-21,Experiment,10551,864,143.0,71.0
2014-10-22,Control,9947,838,162.0,92.0
2014-10-22,Experiment,9737,801,128.0,70.0
2014-10-23,Control,8324,665,127.0,56.0
2014-10-23,Experiment,8176,642,122.0,68.0
2014-10-24,Control,9434,673,220.0,122.0
2014-10-24,Experiment,9402,697,194.0,94.0
2014-10-25,Control,8687,691,176.0,128.0
2014-10-25,Experiment,8669,669,127.0,81.0
2014-10-26,Control,8896,708,161.0,104.0
2014-10-26,Experiment,8881,693,153.0,101.0
2014-10-27,Control,9535,759,233.0,124.0
2014-10-27,Experiment,9655,771,213.0,119.0
2014-10-28,Control,9363,736,154.0,91.0
2014-10-28,Experiment,9396,736,162.0,120.0
2014-10-29,Control,9327,739,196.0,86.0
2014-10-29,Experiment,9262,727,201.0,96.0
2014-10-30,Control,9345,734,167.0,75.0
2014-10-30,Experiment,9308,728,207.0,67.0
2014-10-31,Control,8890,706,174.0,101.0
2014-10-31,Experiment,8715,722,182.0,123.0
2014-11-01,Control,8460,681,156.0,93.0
2014-11-01,Experiment,8448,695,142.0,100.0
2014-11-02,Control,8836,693,206.0,67.0
2014-11-02,Experiment,8836,724,182.0,103.0
2014-11-03,Control,9437,788,,
2014-11-03,Experiment,9359,789,,
2014-11-04,Control,9420,781,,
2014-11-04,Experiment,9427,743,,
2014-11-05,Control,9570,805,,
2014-11-05,Experiment,9633,808,,
2014-11-06,Control,9921,830,,
2014-11-06,Experiment,9842,831,,
2014-11-07,Control,9424,781,,
2014-11-07,Experiment,9272,767,,
2014-11-08,Control,9010,756,,
2014-11-08,Experiment,8969,760,,
2014-11-09,Control,9656,825,,
2014-11-09,Experiment,9697,850,,
2014-11-10,Control,10419,874,,
2014-11-10,Experiment,10445,851,,
2014-11-11,Control,9880,830,,
2014-11-11,Experiment,9931,831,,
2014-11-12,Control,10134,801,,
2014-11-12,Experiment,10042,802,,
2014-11-13,Control,9717,814,,
2014-11-13,Experiment,9721,829,,
2014-11-14,Control,9192,735,,
2014-11-14,Experiment,9304,770,,
2014-11-15,Control,8630,743,,
2014-11-15,Experiment,8668,724,,
2014-11-16,Control,8970,722,,
2014-11-16,Experiment,8988,710,,
